"# ",514.5,502.67,1500,.288,427,-.0246,0,160.064,620.002,50,60,4
3140.088,31412
3140.917,31446.33
3141.746,31465.67
3142.575,31543.67
3143.404,31584
3144.232,31564
3145.061,31587.33
3145.89,31709.33
3146.718,31732.67
3147.546,31732.67
3148.374,31744.33
3149.202,31793.33
3150.03,31812.33
3150.858,31893.67
3151.686,31856
3152.513,31948.67
3153.341,31919.67
3154.168,32047.33
3154.995,32028
3155.822,32008.67
3156.649,32094.67
3157.476,32125.33
3158.302,32100.67
3159.129,32228.67
3159.956,32206
3160.782,32236.67
3161.608,32217.67
3162.434,32278.33
3163.26,32353
3164.086,32372.67
3164.912,32449.67
3165.738,32437
3166.563,32554.33
3167.388,32455.67
3168.214,32423.67
3169.039,32505
3169.864,32544.67
3170.689,32586.67
3171.514,32603
3172.338,32673.67
3173.163,32694
3173.988,32746.33
3174.812,32707
3175.636,32798.67
3176.46,32864.67
3177.284,32863
3178.108,32850.33
3178.932,32871
3179.756,32947
3180.579,32927.67
3181.403,32998
3182.226,33040.67
3183.049,33059.33
3183.872,32845.67
3184.695,33028.67
3185.518,33099.67
3186.341,33110.33
3187.163,33209.67
3187.986,33142
3188.808,33210.33
3189.631,33265.33
3190.453,33308.67
3191.275,33336
3192.097,33315
3192.918,33315.67
3193.74,33335.67
3194.562,33410.67
3195.383,33343.67
3196.204,33412.67
3197.026,33494.33
3197.847,33464
3198.668,33440.33
3199.489,33515.33
3200.309,33562.33
3201.13,33610.33
3201.95,33656
3202.771,33715.67
3203.591,33644.67
3204.411,33654.33
3205.231,33691.67
3206.051,33634.67
3206.871,33746.67
3207.691,33684.67
3208.51,33773
3209.33,33761
3210.149,33789
3210.969,33821
3211.788,33803
3212.607,33809.67
3213.426,33756.33
3214.244,33897.67
3215.063,33785
3215.881,33932.33
3216.7,33895.67
3217.518,33964.33
3218.336,34015.67
3219.155,33942.33
3219.972,33918
3220.79,33994
3221.608,33995.33
3222.426,33988.33
3223.243,33980.67
3224.061,34024.67
3224.878,34031.33
3225.695,33945.33
3226.512,34062.33
3227.329,34082.67
3228.146,34087.33
3228.962,34109
3229.779,34011.67
3230.595,34191.67
3231.412,34171
3232.228,34112.33
3233.044,34224.33
3233.86,34277.33
3234.676,34239.67
3235.491,34241.33
3236.307,34289.67
3237.123,34299.33
3237.938,34317
3238.753,34179.67
3239.569,34355
3240.384,34249.67
3241.199,34215.33
3242.013,34325
3242.828,34304
3243.643,34292.67
3244.457,34306
3245.272,34369
3246.086,34268.33
3246.9,34304.67
3247.714,34384.67
3248.528,34378
3249.342,34330.67
3250.156,34406.67
3250.969,34371.33
3251.782,34372.67
3252.596,34435.33
3253.409,34473.67
3254.222,34403.67
3255.035,34441.33
3255.848,34452.67
3256.661,34438
3257.473,34497.67
3258.286,34597
3259.098,34545.33
3259.91,34518.67
3260.723,34603.67
3261.535,34488
3262.347,34637
3263.158,34550.33
3263.97,34641.67
3264.782,34517
3265.593,34607.67
3266.405,34587.33
3267.216,34602
3268.027,34517.33
3268.838,34557
3269.649,34566.33
3270.46,34587.67
3271.271,34600
3272.081,34648.33
3272.891,34560.33
3273.702,34647.33
3274.512,34590.67
3275.322,34684.67
3276.132,34583.33
3276.942,34767.67
3277.752,34695
3278.561,34725
3279.371,34705
3280.18,34788.67
3280.99,34729.33
3281.799,34735
3282.608,34707.33
3283.417,34785
3284.226,34829.67
3285.034,34748.67
3285.843,34806.67
3286.651,34866.67
3287.46,34813.33
3288.268,34881
3289.076,34812
3289.884,34907.67
3290.692,34865.33
3291.5,34966.67
3292.308,34957.33
3293.115,34970.33
3293.923,35024.67
3294.73,34902.33
3295.537,34835.33
3296.344,34954.67
3297.151,34878
3297.958,34972.33
3298.765,34965.33
3299.572,34914.67
3300.378,34966.67
3301.185,35017.67
3301.991,34997.33
3302.797,34970.67
3303.603,34980.67
3304.409,35018
3305.215,35035.33
3306.021,35019.33
3306.826,35095.67
3307.632,35066
3308.437,35128
3309.242,35145.33
